group,start1,end1,date1,title1,start2,end2,date2,title2,start3,end3,date3,title3,start4,end4,date4,title4,start5,end5,date5,title5,start6,end6,date6,title6,start7,end7,date7,title7,
sign responsible,08:00,09:00,21-Aug,Sign responsibility,,,,,,,,,,,,,,,,,,,,,,,,,
ice breaker ddit,10:15,11:15,21-Aug,Ice breakers with DDIT,,,,,,,,,,,,,,,,,,,,,,,,,
ice breaker ds,10:15,11:00,21-Aug,Ice breakers with DS,,,,,,,,,,,,,,,,,,,,,,,,,
ice breaker gbi,10:15,11:00,21-Aug,Ice breakers with GBI,,,,,,,,,,,,,,,,,,,,,,,,,
ice breaker swu,10:15,11:15,21-Aug,Ice breakers with SWU,,,,,,,,,,,,,,,,,,,,,,,,,
academic ddit,08:30,15:30,21-Aug,Academic hours,08:45,15:30,22-Aug,Academic hours,08:30,15:30,23-Aug,Academic hours,19:30,20:00,21-Aug,Academic debriefing,17:30,18:00,22-Aug,Academic debriefing,16:00,16:30,23-Aug,Academic debriefing,08:15,08:30,21-Aug,Briefing,
academic ds,08:30,15:30,21-Aug,Academic hours,08:30,15:30,22-Aug,Academic hours,09:30,15:30,23-Aug,Academic hours,19:30,20:00,21-Aug,Academic debriefing,17:30,18:00,22-Aug,Academic debriefing,16:00,16:30,23-Aug,Academic debriefing,08:15,08:30,21-Aug,Briefing,
academic gbi,08:30,15:30,21-Aug,Academic hours,08:30,15:30,22-Aug,Academic hours,08:30,15:30,23-Aug,Academic hours,19:30,20:00,21-Aug,Academic debriefing,17:30,18:00,22-Aug,Academic debriefing,16:00,16:30,23-Aug,Academic debriefing,08:15,08:30,21-Aug,Briefing,
academic swu,08:30,15:30,21-Aug,Academic hours,08:30,15:30,22-Aug,Academic hours,08:45,16:00,23-Aug,Academic hours,19:30,20:00,21-Aug,Academic debriefing,17:30,18:00,22-Aug,Academic debriefing,16:00,16:30,23-Aug,Academic debriefing,08:15,08:30,21-Aug,Briefing,
studyline ddit,13:45,15:00,21-Aug,Study line pitch for SWU,09:15,10:00,22-Aug,Study line pitch for DS,10:15,11:00,22-Aug,Study line pitch for GBI,,,,,,,,,,,,,,,,,
studyline ds,13:45,15:00,21-Aug,Study line pitch for DDIT and SWU,10:15,11:00,22-Aug,Study line pitch for GBI,,,,,,,,,,,,,,,,,,,,,
studyline gbi,13:45,15:00,21-Aug,Study line pitch for DDIT and SWU,09:15,10:00,22-Aug,Study line pitch for DS,,,,,,,,,,,,,,,,,,,,,
